,served_request,request_rate,number_instances,response_time,performance,cpu_usage,cpu_alloc,memory,memory_alloc
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,6960.36382613,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.0,6960.36382613,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,1.0,6960.36382613,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,1.0,6960.36382613,0.0,39.3666666667,2.0,0.0,0.0
10,0.0,0.0,1.0,6960.36382613,0.0,39.3666666667,2.0,9718442.66667,0.0
11,0.0,0.0,1.0,6960.36382613,0.0,39.3666666667,2.0,9718442.66667,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,1.0,6960.36382613,0.0,39.3666666667,2.0,9718442.66667,32.0
14,0.0,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
15,0.0,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
16,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
17,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
18,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
19,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
20,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
21,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
22,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
23,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
24,20.3333333333,8.333333333330001,1.0,6960.36382613,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
25,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
26,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
27,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,39.3666666667,2.0,9718442.66667,32.0
28,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,33.5,2.0,9718442.66667,32.0
29,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,33.5,2.0,9718442.66667,32.0
30,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,33.5,2.0,8734037.33333,32.0
31,20.3333333333,8.333333333330001,1.0,4410.88698892,33.3340537504,33.5,2.0,8734037.33333,32.0
